request_id,user_text
REQ-00014,I'm 24. Give me a scent that screams dark but stays clean. Prefer sweet in the drydown. I’m from UK. I’m from UK.
REQ-00390,Age 22. Build me something around freshly washed linen. Prefer aquatic in the drydown. I’m from EastAsia. I’m from EastAsia.
REQ-00678,Turning 54 soon. Make it remind me of cold mountain air. Please: no oud. I’m from SouthAsia. I’m from SouthAsia.
REQ-00701,Turning 41 soon. I want a perfume for date_night. I’m from UK. I’m from UK.
REQ-01000,I'm 48 and I want a perfume for everyday. I hate vanilla. I’m from UAE. I’m from UAE.
REQ-01494,"At 38, I want Can you do clean with a twist of green? Background: any. I’m from NorthAfrica. I’m from NorthAfrica."
REQ-01603,"At 21, I want Can you do mineral with a twist of fresh? I’m from EU. I’m from EU."
REQ-01663,28 here. Build me something around wet stone and fog. Prefer smoky in the drydown. I’m from NorthAfrica. I’m from NorthAfrica.
REQ-01701,51yo and Can you do citrus with a twist of spicy? I hate rose. I’m from Other. I’m from Other.
REQ-01743,29yo and I want something that feels floral and citrus. I’m from US. Prefer musky in the drydown. I’m from US.
REQ-01811,Age 20. Can you do smoky with a twist of citrus? Avoid vanilla completely. I’m from US. I’m from US.
REQ-02126,Age 33. Build me something around pine forest after rain. I’m from UAE. I’m from UAE. I’m from UAE.
REQ-02351,"40 here. I want a perfume for winter_evening. I’m from EU. I’m from EU. If it’s citrus, I’m out."
REQ-02500,Turning 51 soon. Can you do dark with a twist of green? I’m from NorthAfrica. I’m from NorthAfrica.
REQ-02584,"I'm 48 and I want a perfume for formal. I’m from US. If it’s rose, I’m out. I’m from US."
REQ-02717,Age 19. Build me something around a barbershop with warm towels. Background: prefers_natural. I’m from US. I’m from US.
REQ-02915,51yo and Need a signature for gym. I’m from UAE. I’m from UAE. Prefer mineral in the drydown.
REQ-03291,"At 18, I want Need a signature for casual. I’m from UK. I’m from UK."
REQ-03544,I'm 39 and Looking for something that fits gym. I’m from EastAsia. I’m from EastAsia. I hate oud.
REQ-03782,47 here. Make it remind me of wet stone and fog. I’m from SouthAsia. I’m from SouthAsia.
REQ-03927,26yo and I want something that feels woody and green. I’m from US. I’m from US. I hate citrus.
REQ-04008,I'm 55. Make it remind me of pine forest after rain. I’m from US. I’m from US.
REQ-04212,"At 20, I want Looking for something that fits gym. Avoid oud completely. I’m from Other. I’m from Other."
REQ-04341,51 here. Make it remind me of salt on skin after a swim. I hate citrus. I’m from UAE. I’m from UAE.
REQ-04656,Turning 47 soon. Build me something around wet stone and fog. I’m from Other. I’m from Other.
REQ-04752,"Age 52. Give me a scent that screams leather but stays clean. I’m from SouthAsia. If it’s rose, I’m out. I’m from SouthAsia."
REQ-04833,Turning 46 soon. Need a signature for casual. I’m from UK. Prefer sweet in the drydown. I’m from UK.
REQ-05452,I'm 37. Need a signature for formal. I’m from EU. I’m from EU. Please: long-lasting.
REQ-05557,33yo and I want a perfume for gym. I’m from UK. Avoid citrus completely. I’m from UK.
REQ-05623,31yo and Can you do smoky with a twist of amber? I’m from LatAm. I’m from LatAm.
REQ-05919,Turning 20 soon. I’m after sweet/spicy vibes—nothing basic. I’m from NorthAfrica. I’m from NorthAfrica. I hate aldehydic.
REQ-05932,45 here. Looking for something that fits summer_day. I’m from LatAm. I’m from LatAm. not too sharp.
REQ-06067,I'm 19 and Need a signature for everyday. I’m from UAE. I hate aldehydic. I’m from UAE.
REQ-06609,Turning 17 soon. Make it remind me of ozone before a storm. no leather vibe. I’m from SouthAsia. I’m from SouthAsia.
REQ-06631,I'm 53. Give me a scent that screams spicy but stays mineral. I’m from US. Avoid musk completely. I’m from US.
REQ-06680,31 here. Need a signature for wedding. I’m from Other. I’m from Other. Avoid vanilla completely.
REQ-06807,49 here. Can you do ozonic with a twist of green? I’m from Other. Prefer amber in the drydown. I’m from Other.
REQ-06865,Age 27. Need a signature for date_night. I’m from UK. I’m from UK.
REQ-06923,38 here. Can you do floral with a twist of dark? I’m from SouthAsia. Keep it needs strong projection. I’m from SouthAsia.
REQ-07057,39yo and Make it remind me of mint tea on a sunny terrace. Background: likes_oud. I’m from US. I’m from US.
REQ-07184,Turning 31 soon. I’m after woody/spicy vibes—nothing basic. I’m from Other. I’m from Other. Prefer amber in the drydown.
REQ-07233,41yo and Need a signature for wedding. Prefer woody in the drydown. I’m from UAE. I’m from UAE.
REQ-07399,"At 32, I want Make it remind me of ozone before a storm. If it’s patchouli, I’m out. I’m from EU. I’m from EU."
REQ-07472,Age 22. I want a perfume for gym. I’m from NorthAfrica. I’m from NorthAfrica.
REQ-07574,Age 32. Need a signature for casual. Please: not powdery. I’m from UK. I’m from UK.
REQ-07948,"At 28, I want I want a perfume for night_out. office-safe. I’m from SouthAsia. I’m from SouthAsia."
REQ-08264,I'm 24. I want a perfume for office. Prefer leather in the drydown. I’m from NorthAfrica. I’m from NorthAfrica.
REQ-08458,I'm 24. Need a signature for everyday. I’m from SouthAsia. I’m from SouthAsia. I’m from SouthAsia.
REQ-08767,I'm 27 and I want a perfume for summer_day. I’m from NorthAfrica. I’m from NorthAfrica. Background: headache_prone.
REQ-08861,52 here. Looking for something that fits gym. I’m from Other. I’m from Other.
