n,count
Need a signature for date_night.,11
Looking for something that fits wedding.,11
Need a signature for winter_evening.,9
I want a perfume for winter_evening.,9
Make it remind me of fresh cut grass.,8
Looking for something that fits gym.,7
Need a signature for everyday.,7
I want a perfume for office.,7
Looking for something that fits date_night.,7
I want a perfume for gym.,7
Make it remind me of wet stone and fog.,6
Need a signature for night_out.,6
I want a perfume for casual.,6
Need a signature for casual.,6
I want a perfume for date_night.,6
Build me something around a clean hotel lobby.,6
Make it remind me of cold mountain air.,5
Looking for something that fits formal.,5
Build me something around freshly washed linen.,5
I want a perfume for wedding.,5
Looking for something that fits night_out.,5
Build me something around smoke from a fireplace.,5
Build me something around pine forest after rain.,5
Build me something around cold mountain air.,5
Make it remind me of incense in a quiet room.,5
Build me something around warm wood in a luxury cabin.,5
Looking for something that fits summer_day.,5
I want a perfume for night_out.,4
Build me something around incense in a quiet room.,4
Make it remind me of a clean hotel lobby.,4
Looking for something that fits office.,4
Looking for something that fits winter_evening.,4
Looking for something that fits casual.,4
Build me something around a barbershop with warm towels.,4
Make it remind me of mint tea on a sunny terrace.,4
Make it remind me of pine forest after rain.,4
Build me something around black coffee and leather chairs.,4
Build me something around salt on skin after a swim.,4
Need a signature for summer_day.,4
Make it remind me of a barbershop with warm towels.,4
"Make it remind me of fresh cut grass. If it’s oud, I’m out.",3
I want a perfume for gym. I’m from UK.,3
Make it remind me of ozone before a storm.,3
Need a signature for office. Avoid smoky completely.,3
Make it remind me of freshly washed linen.,3
Build me something around fresh cut grass.,3
Make it remind me of salt on skin after a swim.,3
"Make it remind me of ozone before a storm. If it’s citrus, I’m out.",3
Build me something around sun-warmed citrus peel.,3
I want a perfume for formal.,3
