template,example
Age_X,Age 27. Give me a scent that screams smoky but stays floral. Background: any. Please: not too sharp.
Age_X,Age 54. I’m after musky/sweet vibes—nothing basic. I hate patchouli.
Age_X,Age 29. Build me something around wet stone and fog.
Build_me_something_around,Build me something around freshly washed linen. I hate vanilla.
Build_me_something_around,Build me something around wet stone and fog. I’m from Other.
Build_me_something_around,Build me something around black coffee and leather chairs. I hate powdery.
Can_you_do,Can you do woody with a twist of amber? Keep it no sweetness.
Can_you_do,Can you do dark with a twist of aquatic? Please: no oud.
Can_you_do,Can you do green with a twist of aquatic? Please: long-lasting. (I'm 27)
Give_me_a_scent,Give me a scent that screams green but stays sweet. I hate aldehydic.
Give_me_a_scent,Give me a scent that screams clean but stays dark. Please: long-lasting.
Give_me_a_scent,Give me a scent that screams woody but stays floral. not too sharp.
I_want_a_perfume_for,I want a perfume for wedding. Prefer dark in the drydown.
I_want_a_perfume_for,I want a perfume for night_out. Keep it no leather vibe.
I_want_a_perfume_for,I want a perfume for formal. Please: long-lasting.
Im_X_open,I'm 32 and Looking for something that fits night_out.
Im_X_open,I'm 32 and Can you do powdery with a twist of aquatic? Avoid smoky completely. Prefer aquatic in the drydown. Keep it I get headaches from heavy musk.
Im_X_open,I'm 24. Give me a scent that screams dark but stays clean. Prefer sweet in the drydown. I’m from UK. I’m from UK.
Looking_for_something_that_fits,Looking for something that fits formal. keep it subtle.
Looking_for_something_that_fits,Looking for something that fits date_night. Background: sensitive_to_sweet.
Looking_for_something_that_fits,Looking for something that fits night_out. Prefer ozonic in the drydown.
Make_it_remind_me_of,Make it remind me of freshly washed linen. clean finish.
Make_it_remind_me_of,Make it remind me of cold mountain air. (I'm 42)
Make_it_remind_me_of,Make it remind me of wet stone and fog.
Need_a_signature_for,Need a signature for gym. Prefer clean in the drydown.
Need_a_signature_for,Need a signature for casual. Avoid patchouli completely.
Need_a_signature_for,"Need a signature for night_out. If it’s aldehydic, I’m out."
OTHER,46yo and I’m after fresh/aquatic vibes—nothing basic.
OTHER,I want something that feels ozonic and leather.
OTHER,"At 25, I want Need a signature for wedding. Background: prefers_clean. Avoid vanilla completely. Avoid vanilla completely."
X_here,41 here. Looking for something that fits summer_day. Prefer amber in the drydown. Background: any. Keep it no leather vibe.
X_here,33 here. Build me something around ozone before a storm. Please: I get headaches from heavy musk.
X_here,33 here. Need a signature for date_night. I’m from EU.
turning_X_soon,Turning 22 soon. Make it remind me of salt on skin after a swim. no vanilla.
turning_X_soon,"Turning 39 soon. Looking for something that fits night_out. If it’s smoky, I’m out. Prefer ozonic in the drydown. Keep it I get headaches from heavy musk."
turning_X_soon,Turning 38 soon. I want something that feels smoky and amber. no oud.
