Perfume_ID,Perfume_Name,Brand,Fragrance_Family,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Gender,Season,Longevity,Sillage,Description,Mood_Vibe,Occasion
P000001,Dior Sauvage EDP,Dior,Aromatic Fougère,fresh spicy; citrus; amber; lavender; musky; aromatic; herbal; anis; soft spicy; floral,Bergamot,Sichuan Pepper; Lavender; Star Anise; Nutmeg,Ambroxan; Vanilla,Men,winter; spring; summer; fall; day; night,Long lasting,Moderate to strong,"resh, clean, and ultra-compliment friendly with that bright citrus-ambroxan snap that just works. Expect strong projection for the first 2–3 hours and an easy 5-6 hours of wear on skin, longer on clothes, though newest batches can feel a touch smoother and slightly less shouty than early runs. If uniqueness matters, it’s everywhere, but if the goal is to smell undeniably good with zero effort, this is signature-scent material year-round; go easier on sprays in tight spaces and switch to EDP/Elixir if you want a smoother or denser take.",,
P000002,Bleu de Chanel EDP,Chanel,Woody Aromatic,citrus; amber; woody; fresh spicy; aromatic; warm spicy; smoky; fresh; balsamic; powdery,Grapefruit; Lemon; Mint; Bergamot; Pink Pepper; Aldehydes; Coriander,Ginger; Nutmeg; Jasmine; Melon,Incense; Amber; Cedar; Sandalwood; Amberwood; Patchouli; Labdanum,Men,winter; spring; summer; fall; day; night,Long lasting,Moderate,"Bleu de Chanel Eau de Parfum is an aromatic-woody fragrance for men that combines freshness with a sensual, warm, and deep scent. It opens with fresh notes like citrus and pink pepper, moves into a heart of cedar and grapefruit, and finishes with a warm, sensual base of sandalwood, amber, frankincense, and tonka bean. The fragrance is described as an ode to masculine freedom and is known for its versatility, strength, and elegance.",,
P000003,Y EDP,Yves Saint Laurent,Aromatic Fougère,aromatic; fresh spicy; woody; fruity; amber; fresh; citrus; herbal; green; warm spicy,"Apple, Bergamot, Ginger",Sage; Juniper Berries; Geranium,Amberwood; Tonka Bean; Cedar; Vetiver; Olibanum,Men,winter; spring; summer; fall; day; night,Long lasting,Moderate,"YSL Y EDP Review: My Honest Review (2025) | Scent AdvisorsYSL Y EDP is a woody, aromatic ""light and dark fougère"" fragrance for men, characterized by a contrast of fresh and sensual notes. It opens with bright bergamot, ginger, and green apple, moves to a heart of sage, geranium, and lavender, and finishes with a deep, warm base of sensual woods and frankincense. The fragrance is described as both fresh and intense, making it suitable for both daytime and evening wear.",,
P000004,Versace Dylan Blue,Versace,Aromatic Fougère,amber; citrus; fresh spicy; musky; aquatic; warm spicy; woody; fresh; aromatic; smoky,Calabrian bergamot; Water Notes; Grapefruit; Fig Leaf,Ambroxan; Black Pepper; Patchouli; Violet Leaf; Papyrus,Incense; Musk; Tonka Bean; Saffron,Men,spring; summer; fall; day; night,Moderate,Moderate,"floral-fruity-woody fragrance  that combines fresh top notes of blackcurrant and apple with a heart of floral and peach notes, and a warm base of musk, patchouli, and woods. It is described as a strong, sensual, and refined scent created for who are confident in their power and sensuality.",,
P000005,Montblanc Explorer,Montblanc,Woody Aromatic,woody; citrus; aromatic; amber; musky; fresh spicy; oud; soft spicy; warm spicy; earthy,Bergamot; Pink Pepper; Clary Sage,Haitian Vetiver; Leather,Ambroxan; Akigalawood; Indonesian Patchouli Leaf; Cacao Pod,Men,spring; summer; fall; day; night,moderate,moderate,A very pleasant blast of fresh clary sage and semi sweet sharp citrus on first spray and nicely done too. The ambrox is clearly there but doesn't shriek the way it does in Sauvage and the other ambrox-heavy ilk. It just plays its part like a steady bass part keeping everything tidy. There are vetiver and leather listed as notes but they don't stand out individually - more like well blended facets of the aura but if any one note does stand out it's the clary sage for me and it adds some real interest because it’s so unusual in this style of scent. In fact the clary sage does get more leathery as the fragrance dries down but always keeps the freshness too.,,
P000006,Prada Luna Rossa Carbon,Prada,Aromatic Fougère,fresh spicy; amber; lavender; aromatic; metallic; citrus; musky; woody; mineral; earthy,"Bergamot, Pepper",Lavender; Metallic notes; Watery Notes; Coal; Soil Tincture,"Ambroxan, Patchouli",Men,spring; summer; fall; day; night,moderate,moderate,"masculine, woody-fougere Eau de Toilette that blends natural and synthetic elements for a fresh, mineral-forward scent. It opens with metallic lavender and bergamot, moves to a heart of geranium and patchouli, and settles into a warm ambroxan base. The fragrance is known for being both earthy and industrial, making it a sophisticated, modern, and long-lasting option suitable for daily wear, particularly office environments.",,
P000007,Acqua di Gio Profumo,Armani,Aromatic Aquatic,aromatic; fresh spicy; woody; marine; patchouli; warm spicy; amber; balsamic; smoky; herbal,Sea Notes; Bergamot,Rosemary; Sage; Geranium,Patchouli; Incense,Men,spring; summer; fall; day; night,long lasting,moderate,"cqua di Gio Profumo is a masculine eau de parfum for men that combines fresh aquatic notes with warm, smoky, and earthy elements like bergamot, marine accords, clary sage, rosemary, patchouli, and incense. It is a more intense and sophisticated version of the original Acqua di Gio, offering a long-lasting and modern scent with a deep and mysterious character. The fragrance is presented in a matte black bottle and is known for its longevity and blend of opposites, like the sea and the earth.",,
P000008,Rasasi Hawas for Him,Rasasi,Aromatic Fougère,fruity; citrus; aquatic; fresh; warm spicy; amber; sweet; musky; aromatic; animalic,Apple; Bergamot; Lemon; Cinnamon,Watery Notes; Plum; Orange Blossom; Cardamon,Ambergris; Musk; Patchouli; Driftwood,men,spring; summer; day,long lasting,strong,"Rasasi Hawas for Him is an aromatic aquatic fragrance for men that opens with a fresh and spicy mix of apple, bergamot, lemon, and cinnamon. Its heart combines aquatic notes with melon, plum, orange blossom, and cardamom, leading to a warm, woody base of ambergris, musk, sandalwood, and driftwood. This scent is designed to embody masculine strength and is often described as a fresh, long-lasting, and versatile everyday scent, especially for warmer weather.",,
P000009,Armaf Ventana Pour Homme,Armaf,Aromatic Fougère,citrus; aromatic; woody; fresh spicy; lavender; amber; herbal; earthy; patchouli,Grapefruit; Lemon; Mandarin Orange,Lavender; Geranium; Vetiver; Patchouli,Amber; Precious Woods; Cedar,Men,spring; summer; fall; day; night,moderate,moderate,"It features a fresh opening of citrus notes like grapefruit, lemon, and mandarin, a heart of lavender, geranium, and patchouli, and a warm, sensual base of precious woods and amber. It is designed to be long-lasting and suitable for any occasion, from day to night.",,
P000010,Lalique Encre Noire Sport,Lalique,Woody Aromatic,woody; aromatic; citrus; fresh spicy; earthy; aquatic; musky,Grapefruit; Bergamot; Nutmeg,Cypress; Watery Notes; Lavender,Bourbon Vetiver; Haitian Vetiver; Cashmere Wood; Musk,Men,spring; summer; fall; day,moderate,moderate,"it opens with fresh notes of grapefruit and bergamot, transitions to a heart of cypress, lavender, and watery notes, and finishes with a base of vetiver, cashmere wood, and musk. It's described as a dynamic and elegant scent, suitable for daytime or casual wear, balancing a fresh, sporty character with a sophisticated, earthy depth.",,
