Note_ID,Note_Name,Chemical_Name,CAS,Volatility_Class,Odor_Strength,Accords_Used_In,Chemical_Family,Odor_Family,Key_Nuances,Molecular_Weight,Boiling_Point_C,Vapor_Pressure,LogP,Odor_Threshold_mg_L,Tenacity_hrs,Substantivity_Index,Flash_Point_C,Solubility,Natural_Source,Short_Description
NOTE-0509,Linalool,Linalool,78-70-6,Top/Heart,Medium,Floral; Citrus; Aromatic; Fougere,Terpenoid Alcohol,Floral / Fresh,"Fresh, citrusy, clean, slightly woody, floral",154.25,198,Medium,2.9,0.01,2–4,25.0,75.0,Alcohol/oil soluble,"Lavender, rosewood",Clean fresh-floral note with slight citrus and woodiness
NOTE-0668,Limonene,Limonene,138-86-3,Top,Medium,Citrus; Aromatic; Fresh,Terpene,Citrus,"Bright citrus, orange peel, sparkling, zesty",136.24,176,High,4.2,1.0,0.5–1,5.0,48.0,Oil soluble,Citrus peels,Bright sparkling citrus terpene used in fresh accords
NOTE-0669,Citral,Citral,5392-40-5,Top,Strong,Citrus; Green; Fresh,Aldehyde,Citrus / Green,"Lemon, sharp, zesty, green, slightly floral",152.24,229,Medium,3.0,0.02,1–2,15.0,92.0,Alcohol soluble,Lemongrass,Sharp zesty-lemon aldehyde with green facets
NOTE-0456,Vanillin,Vanillin,121-33-5,Base,Strong,Vanilla; Amber; Gourmand,Aromatic Aldehyde,Sweet / Gourmand,"Vanilla, creamy, sweet, balsamic",152.15,285,Low,1.2,0.002,8–20,90.0,150.0,Alcohol soluble,Vanilla bean,Sweet creamy vanilla backbone of many ambers
NOTE-0495,Ethyl Maltol,Ethyl Maltol,4940-11-8,Heart/Base,Strong,Gourmand; Fruity; Sweet,Lactone,Sweet / Candy,"Caramelized sugar, cotton candy, fruity-sweet",140.12,161,Low,1.1,0.0003,10–24,95.0,83.0,Alcohol soluble,None (synthetic),Caramel candy-like enhancer used in gourmands
NOTE-0193,Hedione,Methyl Dihydrojasmonate,24851-98-7,Heart,Soft,Floral; Citrus; Fresh,Jasmonate Ester,Floral / Fresh,"Jasmine, radiant, airy, diffusive",226.33,110 (at low pressure),Low,3.3,0.5,4–6,40.0,102.0,Alcohol soluble,Jasmine,Airy jasmine enhancer with huge diffusion
NOTE-0205,Iso E Super,Tetramethyl Acetyloctahydronaphthalene,54464-57-2,Heart/Base,Medium,Woody; Amber; Musk,Woody Aromatic,Woody / Amber,"Velvety, amber-woody, pencil-shaving, smooth",234.4,270,Low,4.9,0.05,12–30,100.0,110.0,Oil soluble,None (synthetic),Smooth woody-velvety molecule used everywhere
NOTE-0021,Ambroxan,Ambroxide,6790-58-5,Base,Strong,Amber; Woody; Musk,Polycyclic ketone,Amber / Woody,"Ambergris-like, warm, mineral, musky",268.43,270,Very low,6.1,0.01,20–40,120.0,113.0,Oil soluble,Clary sage,Long-lasting ambergris-type molecule
NOTE-0134,Coumarin,Coumarin,91-64-5,Heart/Base,Strong,Fougere; Oriental; Sweet,Benzopyrone,Sweet / Herbal,"Tonka bean, almond, spicy sweet, haylike",146.15,302,Low,1.5,0.001,6–12,70.0,98.0,Alcohol soluble,Tonka bean,Sweet spicy hay-like note essential in fougeres
NOTE-0665,Benzyl Acetate,Benzyl Acetate,0140-11-4,Top/Heart,Medium,Floral; Fruity; White Floral,Ester,Floral / Fruity,"Jasmine-like, sweet floral, fruity pear",150.17,215,Medium,1.96,0.2,1–3,20.0,102.0,Alcohol soluble,"Jasmine, ylang",Fruity-floral ester widely used in florals
